character	killer	responsible party	description	type
Kurokuma	Izuru Kamukura		Destroyed by Izuru Kamukura and salvaged to create Alter Ego Junko	
Shirokuma	Izuru Kamukura		Destroyed by Izuru Kamukura and salvaged to create Alter Ego Junko	
Tokuichi Towa		Monaca Towa	Throat torn out by Monokumas on orders from Monaca Towa	
Yuta Asahina	Masaru Daimon | Nagisa Shingetsu | Kotoko Utsugi | Jataro Kemuri | Monaca Towa		Caught in an explosion triggered by the bracelet he was forced to wear by the Warriors of Hope	
