victim	direct culprits	indirect culprits	description
Anton Bagdonov	Jordi Chin		Murdered by Jordi Chin
Horatio Carlin	Tina Huerta		Stabbed by Tina Huerta
Ivan	Jordi Chin		Murdered by Jordi Chin
Jorge Guttiérez	Marcus Holloway / Retr0		Murdered by Marcus Holloway / Retr0
Luis Travino	Marcus Holloway / Retr0		Murdered by Marcus Holloway / Retr0
Pablo Cortés / Skinner	Marcus Holloway / Retr0		Murdered by Marcus Holloway / Retr0
Tina Huerta	Marcus Holloway / Retr0		Murdered by Marcus Holloway / Retr0
